religion,bush,female,unionhouse,partyid,eval_WoT,eval_HoE,ideology,bush_therm,education,income
7.0,1.0,0.0,0.0,5.0,2.0,2.0,5.0,100.0,6.0,
2.0,,0.0,0.0,2.0,2.0,2.0,4.0,100.0,6.0,14.0
1.0,1.0,1.0,0.0,6.0,2.0,1.0,6.0,70.0,5.0,15.0
2.0,0.0,0.0,0.0,1.0,-1.0,-2.0,2.0,15.0,3.0,19.0
2.0,,0.0,0.0,1.0,2.0,,,40.0,2.0,21.0
2.0,1.0,0.0,0.0,4.0,1.0,1.0,6.0,85.0,6.0,23.0
1.0,,0.0,0.0,6.0,2.0,2.0,6.0,85.0,6.0,6.0
7.0,0.0,1.0,0.0,1.0,-2.0,-2.0,2.0,0.0,3.0,
1.0,1.0,1.0,0.0,6.0,2.0,2.0,7.0,100.0,3.0,18.0
1.0,1.0,0.0,0.0,6.0,2.0,2.0,7.0,100.0,4.0,15.0
1.0,1.0,0.0,0.0,6.0,2.0,2.0,,100.0,3.0,19.0
1.0,1.0,1.0,0.0,1.0,1.0,-1.0,5.0,40.0,3.0,10.0
1.0,,0.0,0.0,3.0,2.0,2.0,4.0,50.0,4.0,21.0
1.0,1.0,0.0,0.0,5.0,2.0,1.0,5.0,85.0,4.0,15.0
2.0,0.0,0.0,0.0,2.0,1.0,-2.0,4.0,60.0,4.0,
4.0,1.0,0.0,0.0,4.0,2.0,2.0,6.0,100.0,3.0,11.0
1.0,0.0,1.0,0.0,1.0,-2.0,-2.0,4.0,0.0,3.0,16.0
1.0,0.0,1.0,0.0,1.0,-2.0,-2.0,2.0,15.0,6.0,23.0
1.0,1.0,1.0,0.0,6.0,2.0,2.0,6.0,85.0,3.0,10.0
1.0,0.0,1.0,0.0,4.0,-2.0,-1.0,5.0,40.0,3.0,17.0
4.0,0.0,1.0,1.0,0.0,-2.0,-2.0,2.0,0.0,7.0,23.0
2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,1.0,15.0,6.0,19.0
2.0,1.0,0.0,0.0,6.0,2.0,2.0,4.0,85.0,6.0,19.0
2.0,,1.0,0.0,4.0,2.0,2.0,1.0,85.0,2.0,7.0
1.0,,0.0,0.0,,,2.0,,70.0,1.0,
7.0,0.0,0.0,1.0,2.0,-2.0,,4.0,50.0,2.0,8.0
2.0,1.0,1.0,0.0,6.0,2.0,2.0,4.0,100.0,6.0,19.0
2.0,,0.0,0.0,1.0,2.0,2.0,4.0,85.0,3.0,11.0
1.0,1.0,1.0,0.0,1.0,2.0,2.0,6.0,100.0,5.0,18.0
2.0,1.0,0.0,0.0,4.0,2.0,2.0,6.0,100.0,7.0,20.0
7.0,1.0,0.0,0.0,6.0,2.0,2.0,5.0,85.0,7.0,17.0
1.0,0.0,0.0,1.0,0.0,-2.0,-2.0,4.0,15.0,3.0,14.0
1.0,,1.0,0.0,0.0,-2.0,-2.0,4.0,0.0,5.0,23.0
2.0,1.0,0.0,1.0,6.0,2.0,2.0,6.0,85.0,3.0,19.0
2.0,1.0,1.0,0.0,6.0,1.0,2.0,5.0,85.0,3.0,23.0
2.0,,1.0,0.0,2.0,-2.0,-2.0,,70.0,2.0,23.0
