nation,milspend_pct
Afghanistan,9.9
Armenia,2.7
Austria,0.9
Bangladesh,1.0
Burundi,6.2
"China, P. R.",2.0
Croatia,1.6
Dominican Rep.,0.5
Egypt,2.8
Finland,1.4
Guatemala,0.3
Iceland,0.0
Indonesia,1.2
Iran,5.8
Lebanon,4.5
Libya,2.0
Morocco,4.5
Romania,2.0
Slovak Rep.,1.7
Slovenia,1.5
Sweden,1.5
Togo,1.5
USA,4.1
Zimbabwe,2.3
