presap,year_month
79.2,2002-03-01
76.25,2002-04-01
76.33334,2002-05-01
73.4,2002-06-01
71.6,2002-07-01
66.5,2002-08-01
67.2,2002-09-01
65.333336,2002-10-01
65.5,2002-11-01
62.75,2002-12-01
60.0,2003-01-01
59.2,2003-02-01
65.2,2003-03-01
70.0,2003-04-01
66.333336,2003-05-01
62.0,2003-06-01
59.66667,2003-07-01
59.5,2003-08-01
51.0,2003-09-01
54.66667,2003-10-01
51.66667,2003-11-01
58.0,2003-12-01
55.25,2004-01-01
51.33333,2004-02-01
50.66667,2004-03-01
52.0,2004-04-01
47.33333,2004-05-01
48.5,2004-06-01
48.0,2004-07-01
50.0,2004-08-01
52.66667,2004-09-01
49.16667,2004-10-01
54.0,2004-11-01
51.0,2004-12-01
51.66667,2005-01-01
52.25,2005-02-01
49.66667,2005-03-01
48.5,2005-04-01
48.0,2005-05-01
46.25,2005-06-01
47.33333,2005-07-01
43.75,2005-08-01
44.0,2005-09-01
40.75,2005-10-01
38.33333,2005-11-01
42.25,2005-12-01
43.0,2006-01-01
39.66667,2006-02-01
37.0,2006-03-01
36.0,2006-04-01
33.0,2006-05-01
38.0,2006-06-01
37.0,2006-07-01
