v960066,v960067,v960070,v960071,v960073,v960115,v960119,v960272,v960281,v960284,v960292,v960293,v960365,v960385,v960420,v960568,v960571,v960605,v960606,v960610,v960701,v961039,v961300,religion
2.0,1.0,1.0,2.0,1.0,2.0,14.0,85.0,75.0,15.0,35.0,35.0,5.0,1.0,2.0,2.0,1.0,40.0,3.0,5.0,15.0,40.0,1.0,7.0
2.0,2.0,3.0,3.0,3.0,2.0,1028.0,70.0,50.0,,70.0,50.0,,5.0,2.0,3.0,1.0,32.0,5.0,3.0,4.0,,,7.0
2.0,2.0,3.0,3.0,2.0,2.0,1028.0,100.0,100.0,70.0,100.0,15.0,,3.0,0.0,2.0,1.0,38.0,5.0,7.0,18.0,,,7.0
2.0,1.0,2.0,2.0,3.0,2.0,506.0,70.0,70.0,50.0,85.0,40.0,4.0,1.0,0.0,2.0,1.0,31.0,5.0,3.0,14.0,100.0,5.0,9.0
1.0,1.0,1.0,1.0,1.0,2.0,34.0,70.0,50.0,85.0,60.0,70.0,5.0,1.0,4.0,2.0,1.0,55.0,1.0,7.0,23.0,30.0,5.0,2.0
2.0,1.0,1.0,1.0,2.0,2.0,4.0,90.0,100.0,70.0,70.0,30.0,3.0,1.0,0.0,5.0,1.0,50.0,1.0,7.0,,85.0,1.0,1.0
1.0,1.0,3.0,3.0,3.0,2.0,0.0,70.0,60.0,30.0,70.0,40.0,5.0,1.0,1.0,2.0,1.0,35.0,5.0,3.0,15.0,40.0,5.0,1.0
2.0,1.0,1.0,1.0,1.0,2.0,0.0,70.0,85.0,0.0,60.0,40.0,2.0,1.0,1.0,5.0,1.0,31.0,5.0,7.0,17.0,60.0,1.0,9.0
1.0,1.0,2.0,2.0,2.0,2.0,0.0,70.0,30.0,15.0,70.0,60.0,5.0,3.0,1.0,4.0,1.0,48.0,1.0,4.0,20.0,30.0,5.0,1.0
2.0,2.0,3.0,3.0,2.0,2.0,0.0,60.0,50.0,40.0,60.0,60.0,4.0,1.0,3.0,4.0,1.0,47.0,6.0,4.0,5.0,,,1.0
1.0,1.0,2.0,2.0,2.0,2.0,0.0,85.0,60.0,0.0,95.0,70.0,3.0,1.0,2.0,2.0,,43.0,3.0,7.0,24.0,,,9.0
2.0,1.0,3.0,3.0,2.0,2.0,15.0,70.0,60.0,40.0,60.0,40.0,4.0,1.0,2.0,2.0,1.0,36.0,5.0,3.0,16.0,60.0,5.0,9.0
2.0,1.0,4.0,3.0,2.0,2.0,15.0,60.0,40.0,0.0,60.0,0.0,2.0,5.0,1.0,4.0,1.0,51.0,1.0,4.0,12.0,100.0,1.0,9.0
2.0,1.0,3.0,2.0,3.0,2.0,15.0,70.0,70.0,0.0,70.0,15.0,2.0,5.0,2.0,2.0,1.0,,3.0,7.0,18.0,100.0,1.0,7.0
1.0,1.0,2.0,2.0,2.0,3.0,76.0,85.0,70.0,30.0,85.0,60.0,2.0,1.0,0.0,4.0,1.0,36.0,1.0,4.0,20.0,70.0,5.0,7.0
1.0,1.0,2.0,2.0,2.0,3.0,29.0,60.0,15.0,60.0,40.0,60.0,6.0,1.0,6.0,5.0,1.0,49.0,3.0,6.0,23.0,40.0,5.0,9.0
1.0,4.0,4.0,3.0,3.0,3.0,171.0,70.0,70.0,,50.0,50.0,4.0,5.0,6.0,1.0,2.0,25.0,5.0,4.0,16.0,60.0,5.0,9.0
1.0,1.0,1.0,2.0,4.0,3.0,24.0,15.0,0.0,70.0,50.0,70.0,6.0,5.0,4.0,1.0,2.0,61.0,3.0,3.0,21.0,50.0,5.0,9.0
2.0,1.0,1.0,1.0,2.0,3.0,24.0,70.0,60.0,15.0,60.0,40.0,3.0,3.0,1.0,5.0,1.0,38.0,1.0,7.0,24.0,60.0,5.0,2.0
2.0,1.0,2.0,2.0,1.0,3.0,24.0,60.0,70.0,50.0,50.0,50.0,5.0,3.0,4.0,1.0,2.0,36.0,1.0,4.0,18.0,45.0,5.0,9.0
1.0,2.0,2.0,2.0,1.0,3.0,736.0,70.0,60.0,40.0,60.0,50.0,6.0,1.0,2.0,2.0,1.0,47.0,5.0,7.0,4.0,60.0,5.0,7.0
1.0,2.0,1.0,1.0,1.0,3.0,2.0,100.0,100.0,0.0,70.0,0.0,1.0,3.0,1.0,5.0,1.0,66.0,1.0,4.0,12.0,,,7.0
2.0,1.0,2.0,2.0,2.0,3.0,87.0,70.0,70.0,50.0,50.0,50.0,4.0,3.0,6.0,5.0,1.0,57.0,4.0,4.0,24.0,70.0,5.0,2.0
2.0,2.0,3.0,3.0,3.0,3.0,22.0,100.0,70.0,,100.0,30.0,,1.0,0.0,2.0,1.0,42.0,5.0,3.0,1.0,70.0,5.0,9.0
1.0,1.0,3.0,2.0,3.0,3.0,1631.0,0.0,0.0,15.0,15.0,85.0,6.0,3.0,6.0,4.0,1.0,42.0,1.0,6.0,,50.0,5.0,2.0
2.0,1.0,2.0,2.0,2.0,3.0,1631.0,70.0,85.0,0.0,60.0,85.0,5.0,1.0,6.0,5.0,1.0,50.0,1.0,7.0,23.0,90.0,5.0,1.0
1.0,1.0,3.0,2.0,3.0,3.0,1631.0,60.0,50.0,30.0,60.0,40.0,4.0,1.0,1.0,1.0,1.0,30.0,1.0,6.0,20.0,40.0,5.0,2.0
2.0,1.0,1.0,2.0,1.0,3.0,1631.0,15.0,0.0,85.0,30.0,70.0,7.0,1.0,6.0,4.0,1.0,29.0,1.0,6.0,,40.0,5.0,1.0
1.0,1.0,2.0,2.0,2.0,3.0,1631.0,60.0,70.0,30.0,70.0,70.0,5.0,3.0,2.0,4.0,1.0,57.0,1.0,4.0,23.0,75.0,5.0,1.0
2.0,1.0,4.0,2.0,3.0,3.0,1631.0,70.0,60.0,30.0,60.0,40.0,5.0,1.0,1.0,4.0,1.0,29.0,1.0,5.0,,60.0,5.0,1.0
2.0,2.0,5.0,4.0,5.0,3.0,0.0,100.0,,,50.0,,,5.0,3.0,2.0,1.0,39.0,4.0,1.0,3.0,100.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,3.0,0.0,100.0,85.0,40.0,85.0,65.0,5.0,1.0,2.0,4.0,1.0,72.0,1.0,4.0,12.0,85.0,1.0,1.0
2.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,70.0,50.0,70.0,5.0,3.0,5.0,4.0,1.0,41.0,1.0,3.0,11.0,40.0,5.0,1.0
1.0,1.0,3.0,3.0,3.0,3.0,64.0,100.0,100.0,60.0,100.0,70.0,2.0,3.0,0.0,2.0,1.0,24.0,5.0,2.0,5.0,,,9.0
