v960066,v960067,v960070,v960071,v960073,v960115,v960119,v960272,v960281,v960284,v960292,v960293,v960365,v960385,v960420,v960568,v960571,v960605,v960606,v960610,v960701,v961039,v961300,religion
1.0,1.0,1.0,2.0,1.0,2.0,20.0,0.0,0.0,60.0,0.0,60.0,6.0,1.0,6.0,4.0,1.0,54.0,1.0,5.0,20.0,40.0,5.0,1.0
1.0,1.0,2.0,2.0,2.0,2.0,20.0,0.0,0.0,30.0,0.0,30.0,6.0,1.0,4.0,5.0,1.0,38.0,1.0,4.0,21.0,30.0,5.0,2.0
1.0,1.0,4.0,3.0,2.0,2.0,20.0,100.0,100.0,100.0,0.0,100.0,,5.0,4.0,1.0,1.0,19.0,5.0,2.0,22.0,60.0,5.0,2.0
1.0,1.0,3.0,2.0,3.0,2.0,5.0,40.0,0.0,70.0,30.0,60.0,6.0,1.0,5.0,2.0,1.0,27.0,5.0,6.0,23.0,,,1.0
2.0,1.0,3.0,2.0,2.0,2.0,5.0,80.0,60.0,15.0,70.0,40.0,3.0,5.0,2.0,2.0,2.0,50.0,3.0,3.0,16.0,70.0,5.0,9.0
1.0,1.0,4.0,4.0,3.0,2.0,5.0,0.0,,,30.0,70.0,6.0,3.0,5.0,4.0,1.0,61.0,1.0,4.0,20.0,0.0,5.0,2.0
1.0,2.0,4.0,4.0,2.0,2.0,628.0,100.0,85.0,50.0,85.0,60.0,,1.0,0.0,5.0,1.0,32.0,5.0,3.0,10.0,70.0,5.0,1.0
2.0,2.0,3.0,3.0,3.0,2.0,628.0,100.0,100.0,0.0,50.0,70.0,,5.0,4.0,2.0,1.0,38.0,1.0,3.0,18.0,85.0,5.0,7.0
2.0,1.0,4.0,2.0,2.0,2.0,191.0,70.0,70.0,50.0,60.0,40.0,3.0,3.0,1.0,4.0,1.0,20.0,5.0,4.0,1.0,85.0,5.0,2.0
2.0,4.0,3.0,2.0,2.0,2.0,191.0,60.0,70.0,60.0,60.0,40.0,2.0,1.0,2.0,3.0,2.0,20.0,5.0,4.0,2.0,85.0,1.0,9.0
2.0,4.0,2.0,2.0,2.0,2.0,191.0,50.0,50.0,50.0,60.0,70.0,5.0,3.0,5.0,4.0,1.0,22.0,5.0,4.0,1.0,50.0,5.0,1.0
2.0,1.0,1.0,1.0,1.0,2.0,191.0,70.0,100.0,30.0,85.0,0.0,2.0,1.0,0.0,5.0,1.0,47.0,1.0,7.0,,85.0,1.0,7.0
2.0,1.0,2.0,2.0,2.0,2.0,191.0,70.0,70.0,15.0,70.0,30.0,2.0,1.0,0.0,4.0,2.0,52.0,1.0,6.0,24.0,85.0,1.0,1.0
1.0,1.0,2.0,1.0,2.0,2.0,191.0,85.0,60.0,0.0,70.0,40.0,3.0,1.0,0.0,2.0,1.0,35.0,1.0,6.0,23.0,,,9.0
1.0,1.0,4.0,2.0,3.0,2.0,191.0,70.0,70.0,50.0,60.0,30.0,3.0,3.0,2.0,2.0,1.0,39.0,1.0,5.0,21.0,60.0,5.0,2.0
2.0,1.0,3.0,2.0,2.0,2.0,0.0,70.0,85.0,0.0,60.0,30.0,4.0,3.0,2.0,4.0,1.0,48.0,1.0,5.0,20.0,60.0,5.0,9.0
1.0,1.0,2.0,2.0,3.0,2.0,0.0,30.0,30.0,60.0,40.0,70.0,5.0,1.0,6.0,2.0,1.0,45.0,1.0,4.0,21.0,85.0,5.0,1.0
1.0,1.0,2.0,2.0,2.0,2.0,0.0,60.0,50.0,0.0,60.0,40.0,3.0,1.0,0.0,4.0,2.0,50.0,5.0,4.0,16.0,70.0,5.0,9.0
1.0,1.0,4.0,2.0,2.0,2.0,0.0,87.0,80.0,40.0,83.0,70.0,4.0,1.0,2.0,4.0,1.0,28.0,5.0,6.0,15.0,85.0,5.0,2.0
2.0,1.0,4.0,3.0,2.0,2.0,0.0,100.0,70.0,30.0,100.0,60.0,4.0,1.0,1.0,3.0,1.0,73.0,1.0,3.0,12.0,60.0,5.0,1.0
2.0,1.0,4.0,3.0,3.0,2.0,6.0,15.0,40.0,40.0,30.0,85.0,6.0,3.0,6.0,2.0,1.0,77.0,2.0,4.0,5.0,30.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,2.0,0.0,50.0,0.0,0.0,30.0,85.0,,5.0,5.0,2.0,1.0,52.0,1.0,4.0,18.0,60.0,5.0,1.0
1.0,1.0,3.0,3.0,2.0,2.0,0.0,85.0,85.0,30.0,85.0,30.0,2.0,1.0,0.0,2.0,1.0,30.0,3.0,4.0,17.0,70.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,0.0,40.0,50.0,70.0,60.0,85.0,6.0,3.0,6.0,4.0,1.0,30.0,5.0,6.0,19.0,50.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,2.0,0.0,60.0,50.0,0.0,60.0,60.0,6.0,3.0,1.0,3.0,1.0,74.0,2.0,3.0,6.0,50.0,5.0,1.0
2.0,1.0,5.0,3.0,3.0,2.0,6.0,30.0,60.0,,60.0,70.0,,3.0,3.0,2.0,2.0,25.0,3.0,2.0,2.0,,,9.0
1.0,1.0,3.0,3.0,3.0,2.0,6.0,60.0,15.0,40.0,60.0,60.0,5.0,3.0,5.0,2.0,1.0,55.0,1.0,3.0,13.0,60.0,5.0,1.0
2.0,1.0,3.0,2.0,2.0,2.0,193.0,70.0,60.0,15.0,50.0,50.0,4.0,1.0,1.0,2.0,1.0,30.0,1.0,6.0,21.0,,,1.0
1.0,1.0,2.0,2.0,1.0,2.0,193.0,30.0,15.0,70.0,30.0,85.0,6.0,3.0,6.0,2.0,1.0,35.0,1.0,3.0,20.0,40.0,5.0,1.0
1.0,1.0,5.0,3.0,3.0,2.0,193.0,50.0,60.0,50.0,70.0,60.0,,5.0,2.0,1.0,1.0,20.0,5.0,3.0,12.0,,,7.0
2.0,1.0,5.0,3.0,3.0,2.0,193.0,85.0,85.0,,,,,5.0,0.0,2.0,1.0,19.0,5.0,2.0,,,,9.0
2.0,1.0,4.0,3.0,3.0,2.0,5.0,100.0,100.0,0.0,100.0,0.0,4.0,1.0,0.0,2.0,1.0,70.0,1.0,3.0,10.0,85.0,5.0,2.0
2.0,1.0,3.0,2.0,4.0,2.0,5.0,15.0,0.0,70.0,40.0,70.0,6.0,5.0,6.0,3.0,1.0,53.0,1.0,3.0,23.0,60.0,5.0,1.0
1.0,1.0,3.0,3.0,3.0,2.0,5.0,30.0,30.0,15.0,40.0,60.0,5.0,3.0,5.0,4.0,1.0,70.0,1.0,6.0,21.0,70.0,5.0,1.0
2.0,1.0,3.0,2.0,1.0,2.0,0.0,70.0,50.0,30.0,85.0,60.0,,3.0,0.0,3.0,1.0,58.0,1.0,3.0,22.0,60.0,5.0,9.0
1.0,1.0,3.0,2.0,1.0,2.0,0.0,85.0,60.0,0.0,60.0,30.0,,3.0,5.0,2.0,1.0,64.0,1.0,4.0,16.0,,5.0,2.0
2.0,1.0,3.0,3.0,3.0,3.0,6.0,90.0,90.0,50.0,90.0,90.0,,1.0,1.0,2.0,1.0,46.0,4.0,3.0,10.0,95.0,5.0,1.0
2.0,2.0,4.0,3.0,3.0,3.0,6.0,15.0,50.0,,50.0,50.0,,5.0,3.0,4.0,1.0,32.0,5.0,1.0,8.0,100.0,5.0,9.0
1.0,1.0,2.0,2.0,2.0,3.0,6.0,60.0,60.0,15.0,60.0,40.0,4.0,3.0,2.0,2.0,1.0,25.0,1.0,3.0,21.0,50.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,3.0,6.0,70.0,60.0,70.0,70.0,60.0,5.0,1.0,6.0,2.0,1.0,46.0,1.0,4.0,20.0,40.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,3.0,0.0,40.0,0.0,15.0,60.0,60.0,5.0,5.0,5.0,4.0,1.0,51.0,1.0,4.0,,70.0,1.0,2.0
2.0,1.0,2.0,2.0,1.0,3.0,0.0,100.0,85.0,0.0,70.0,15.0,5.0,1.0,0.0,1.0,1.0,72.0,3.0,3.0,,60.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,3.0,0.0,60.0,50.0,50.0,60.0,60.0,6.0,5.0,4.0,2.0,1.0,31.0,1.0,5.0,5.0,60.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,3.0,25.0,60.0,60.0,50.0,60.0,60.0,6.0,1.0,5.0,5.0,1.0,73.0,2.0,3.0,,,,1.0
2.0,1.0,2.0,2.0,2.0,3.0,25.0,30.0,60.0,40.0,40.0,70.0,6.0,1.0,5.0,4.0,1.0,41.0,1.0,4.0,20.0,70.0,5.0,1.0
1.0,2.0,3.0,3.0,3.0,3.0,179.0,100.0,85.0,30.0,100.0,30.0,6.0,3.0,1.0,2.0,1.0,48.0,3.0,4.0,16.0,70.0,5.0,1.0
2.0,2.0,5.0,3.0,4.0,3.0,179.0,100.0,100.0,0.0,100.0,60.0,,1.0,0.0,5.0,1.0,60.0,1.0,2.0,13.0,100.0,5.0,1.0
2.0,2.0,5.0,4.0,3.0,3.0,25.0,50.0,50.0,,50.0,50.0,,1.0,3.0,5.0,2.0,25.0,5.0,3.0,2.0,50.0,5.0,1.0
1.0,2.0,5.0,5.0,4.0,3.0,25.0,0.0,70.0,,0.0,0.0,5.0,5.0,0.0,5.0,1.0,64.0,4.0,1.0,3.0,30.0,5.0,1.0
2.0,2.0,5.0,4.0,4.0,3.0,25.0,85.0,100.0,,100.0,15.0,,3.0,0.0,2.0,1.0,47.0,3.0,2.0,9.0,100.0,5.0,7.0
1.0,2.0,2.0,2.0,2.0,3.0,0.0,85.0,100.0,0.0,60.0,40.0,,1.0,2.0,2.0,1.0,35.0,1.0,6.0,16.0,100.0,5.0,1.0
2.0,2.0,4.0,3.0,4.0,3.0,0.0,85.0,70.0,15.0,85.0,15.0,,3.0,0.0,4.0,1.0,32.0,1.0,5.0,20.0,70.0,5.0,7.0
2.0,2.0,2.0,2.0,2.0,3.0,0.0,100.0,60.0,50.0,100.0,60.0,2.0,1.0,0.0,5.0,1.0,38.0,1.0,6.0,,85.0,5.0,1.0
2.0,1.0,3.0,2.0,3.0,3.0,18.0,40.0,30.0,30.0,60.0,60.0,2.0,3.0,2.0,4.0,1.0,24.0,5.0,4.0,14.0,,,7.0
2.0,1.0,1.0,1.0,2.0,3.0,18.0,85.0,85.0,40.0,85.0,40.0,5.0,1.0,3.0,4.0,1.0,61.0,1.0,3.0,,60.0,5.0,1.0
2.0,2.0,5.0,4.0,2.0,3.0,0.0,100.0,,,100.0,70.0,,3.0,0.0,1.0,1.0,42.0,5.0,2.0,5.0,100.0,5.0,7.0
2.0,2.0,3.0,3.0,5.0,3.0,635.0,100.0,100.0,0.0,100.0,40.0,1.0,1.0,0.0,1.0,1.0,34.0,5.0,3.0,10.0,,,1.0
2.0,2.0,4.0,3.0,3.0,3.0,635.0,70.0,40.0,50.0,70.0,30.0,2.0,5.0,0.0,2.0,1.0,24.0,5.0,6.0,8.0,85.0,1.0,7.0
2.0,1.0,3.0,3.0,3.0,3.0,4.0,85.0,70.0,30.0,100.0,0.0,,1.0,0.0,1.0,1.0,58.0,3.0,1.0,3.0,40.0,5.0,1.0
1.0,1.0,2.0,2.0,2.0,3.0,0.0,40.0,15.0,30.0,40.0,85.0,6.0,1.0,6.0,2.0,1.0,53.0,3.0,6.0,16.0,50.0,5.0,9.0
2.0,1.0,3.0,2.0,3.0,3.0,0.0,100.0,85.0,60.0,100.0,50.0,4.0,3.0,0.0,4.0,2.0,79.0,2.0,5.0,,65.0,5.0,9.0
2.0,1.0,4.0,3.0,3.0,3.0,0.0,60.0,60.0,,50.0,70.0,5.0,5.0,5.0,4.0,1.0,38.0,4.0,3.0,4.0,,,1.0
1.0,1.0,3.0,3.0,1.0,3.0,0.0,40.0,50.0,60.0,60.0,70.0,5.0,1.0,4.0,4.0,1.0,18.0,5.0,3.0,17.0,85.0,5.0,1.0
1.0,1.0,2.0,2.0,2.0,3.0,0.0,50.0,15.0,0.0,40.0,25.0,6.0,5.0,1.0,1.0,1.0,38.0,1.0,3.0,,15.0,5.0,9.0
2.0,,,,,3.0,0.0,0.0,0.0,40.0,50.0,50.0,3.0,3.0,5.0,2.0,1.0,33.0,3.0,3.0,16.0,50.0,5.0,1.0
2.0,1.0,3.0,2.0,2.0,3.0,0.0,30.0,30.0,30.0,40.0,70.0,6.0,3.0,4.0,4.0,1.0,58.0,1.0,2.0,20.0,,,2.0
2.0,1.0,3.0,3.0,3.0,3.0,0.0,50.0,0.0,0.0,0.0,100.0,6.0,5.0,4.0,1.0,1.0,79.0,2.0,3.0,10.0,40.0,5.0,2.0
2.0,2.0,4.0,3.0,4.0,3.0,0.0,70.0,70.0,,100.0,30.0,1.0,5.0,0.0,1.0,1.0,73.0,4.0,1.0,,100.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,3.0,0.0,85.0,60.0,0.0,70.0,50.0,4.0,5.0,1.0,2.0,1.0,45.0,1.0,3.0,17.0,50.0,5.0,9.0
2.0,1.0,3.0,3.0,2.0,3.0,0.0,40.0,50.0,50.0,40.0,40.0,4.0,5.0,3.0,1.0,1.0,39.0,1.0,4.0,17.0,30.0,1.0,2.0
2.0,1.0,2.0,3.0,2.0,3.0,19.0,15.0,0.0,70.0,15.0,85.0,6.0,3.0,6.0,3.0,1.0,48.0,1.0,4.0,,60.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,3.0,0.0,100.0,70.0,30.0,60.0,60.0,4.0,1.0,2.0,4.0,1.0,74.0,2.0,7.0,12.0,85.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,3.0,0.0,60.0,60.0,50.0,70.0,85.0,4.0,5.0,5.0,1.0,1.0,24.0,1.0,4.0,17.0,85.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,60.0,85.0,70.0,4.0,3.0,6.0,3.0,2.0,50.0,1.0,4.0,24.0,,,9.0
1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,70.0,0.0,85.0,5.0,3.0,6.0,2.0,2.0,69.0,1.0,3.0,,85.0,5.0,1.0
2.0,1.0,4.0,3.0,3.0,3.0,0.0,85.0,70.0,15.0,85.0,60.0,2.0,3.0,1.0,4.0,2.0,21.0,1.0,5.0,16.0,,,1.0
1.0,1.0,1.0,2.0,1.0,3.0,0.0,85.0,60.0,15.0,30.0,30.0,,1.0,3.0,5.0,2.0,49.0,1.0,4.0,14.0,85.0,1.0,7.0
2.0,2.0,3.0,3.0,3.0,3.0,165.0,100.0,85.0,40.0,100.0,70.0,4.0,5.0,0.0,3.0,1.0,32.0,5.0,3.0,10.0,95.0,5.0,1.0
1.0,2.0,2.0,3.0,3.0,3.0,165.0,85.0,60.0,,70.0,40.0,4.0,1.0,0.0,1.0,1.0,48.0,3.0,2.0,6.0,85.0,5.0,9.0
1.0,1.0,5.0,4.0,3.0,3.0,2.0,100.0,100.0,30.0,100.0,30.0,,1.0,0.0,1.0,1.0,79.0,1.0,1.0,7.0,75.0,5.0,7.0
2.0,1.0,2.0,2.0,2.0,3.0,2.0,40.0,70.0,40.0,70.0,60.0,4.0,3.0,2.0,2.0,1.0,36.0,3.0,6.0,16.0,,,7.0
2.0,1.0,4.0,3.0,2.0,3.0,2.0,50.0,50.0,,50.0,40.0,,3.0,1.0,1.0,1.0,38.0,3.0,3.0,12.0,50.0,5.0,7.0
2.0,1.0,2.0,2.0,1.0,3.0,10.0,70.0,70.0,0.0,70.0,60.0,,3.0,2.0,1.0,1.0,60.0,3.0,5.0,19.0,60.0,5.0,1.0
1.0,1.0,4.0,3.0,4.0,3.0,10.0,15.0,50.0,,15.0,70.0,6.0,3.0,6.0,2.0,2.0,32.0,3.0,3.0,18.0,,,9.0
2.0,1.0,2.0,1.0,2.0,3.0,10.0,60.0,60.0,0.0,50.0,30.0,2.0,3.0,1.0,4.0,2.0,28.0,1.0,7.0,22.0,85.0,5.0,1.0
1.0,1.0,4.0,3.0,3.0,3.0,10.0,60.0,40.0,85.0,50.0,85.0,,3.0,5.0,2.0,1.0,42.0,1.0,3.0,21.0,60.0,5.0,7.0
1.0,2.0,3.0,2.0,4.0,3.0,266.0,90.0,50.0,50.0,100.0,50.0,5.0,1.0,0.0,2.0,1.0,67.0,2.0,3.0,4.0,50.0,5.0,1.0
2.0,2.0,4.0,3.0,3.0,3.0,266.0,100.0,75.0,,100.0,50.0,1.0,5.0,0.0,4.0,1.0,83.0,2.0,1.0,3.0,50.0,5.0,1.0
1.0,,,,,3.0,266.0,35.0,30.0,,38.0,70.0,,5.0,6.0,3.0,1.0,26.0,5.0,3.0,22.0,,,7.0
2.0,2.0,3.0,2.0,1.0,3.0,266.0,85.0,70.0,50.0,85.0,70.0,,3.0,1.0,4.0,1.0,34.0,6.0,5.0,18.0,50.0,5.0,1.0
2.0,2.0,4.0,3.0,3.0,3.0,266.0,85.0,100.0,85.0,100.0,70.0,,5.0,2.0,1.0,1.0,35.0,5.0,4.0,11.0,85.0,5.0,1.0
2.0,2.0,2.0,2.0,3.0,3.0,266.0,100.0,100.0,100.0,100.0,85.0,1.0,1.0,2.0,5.0,1.0,58.0,5.0,5.0,13.0,100.0,5.0,1.0
2.0,2.0,4.0,3.0,3.0,3.0,266.0,85.0,70.0,,100.0,70.0,,3.0,1.0,2.0,1.0,73.0,2.0,2.0,4.0,100.0,5.0,9.0
2.0,2.0,3.0,3.0,3.0,3.0,266.0,85.0,85.0,50.0,85.0,50.0,,1.0,0.0,5.0,1.0,38.0,3.0,3.0,,100.0,5.0,7.0
1.0,2.0,3.0,3.0,3.0,3.0,266.0,70.0,65.0,50.0,90.0,0.0,,3.0,0.0,5.0,1.0,80.0,2.0,3.0,16.0,70.0,5.0,9.0
1.0,2.0,2.0,2.0,3.0,3.0,266.0,85.0,70.0,60.0,85.0,40.0,,1.0,0.0,4.0,1.0,57.0,1.0,3.0,,70.0,5.0,1.0
2.0,2.0,3.0,3.0,4.0,3.0,266.0,100.0,70.0,0.0,70.0,40.0,,3.0,2.0,2.0,1.0,33.0,1.0,4.0,,,5.0,7.0
2.0,2.0,3.0,2.0,2.0,3.0,266.0,100.0,85.0,,100.0,10.0,,3.0,1.0,1.0,1.0,71.0,2.0,4.0,,85.0,5.0,1.0
1.0,1.0,3.0,3.0,3.0,3.0,9.0,15.0,0.0,30.0,15.0,60.0,4.0,1.0,4.0,2.0,2.0,35.0,1.0,5.0,,50.0,5.0,1.0
2.0,1.0,3.0,2.0,2.0,3.0,104.0,0.0,0.0,60.0,70.0,85.0,,3.0,4.0,5.0,1.0,87.0,2.0,2.0,9.0,0.0,5.0,1.0
1.0,2.0,2.0,2.0,2.0,3.0,104.0,60.0,50.0,50.0,100.0,0.0,1.0,5.0,2.0,1.0,1.0,31.0,1.0,4.0,17.0,100.0,1.0,9.0
2.0,2.0,3.0,3.0,3.0,3.0,104.0,60.0,0.0,,60.0,15.0,7.0,3.0,1.0,5.0,1.0,30.0,1.0,5.0,10.0,85.0,5.0,1.0
1.0,1.0,1.0,1.0,1.0,3.0,84.0,85.0,70.0,30.0,60.0,15.0,2.0,1.0,2.0,4.0,1.0,33.0,1.0,7.0,20.0,70.0,5.0,1.0
2.0,1.0,4.0,3.0,3.0,3.0,84.0,70.0,70.0,50.0,85.0,40.0,4.0,3.0,2.0,5.0,1.0,67.0,2.0,3.0,10.0,70.0,5.0,9.0
1.0,1.0,1.0,2.0,2.0,3.0,22.0,85.0,70.0,0.0,70.0,15.0,3.0,3.0,0.0,4.0,1.0,36.0,1.0,6.0,20.0,85.0,5.0,1.0
2.0,1.0,4.0,3.0,3.0,3.0,0.0,60.0,50.0,40.0,50.0,50.0,4.0,5.0,4.0,5.0,1.0,18.0,5.0,3.0,9.0,50.0,5.0,7.0
1.0,1.0,4.0,3.0,3.0,3.0,0.0,50.0,0.0,0.0,25.0,25.0,,5.0,3.0,1.0,1.0,30.0,5.0,3.0,6.0,70.0,5.0,9.0
2.0,1.0,4.0,3.0,2.0,4.0,32.0,60.0,50.0,,60.0,60.0,,3.0,4.0,3.0,2.0,53.0,1.0,3.0,11.0,60.0,5.0,9.0
1.0,1.0,2.0,1.0,1.0,4.0,32.0,75.0,60.0,25.0,65.0,50.0,2.0,3.0,2.0,2.0,1.0,29.0,1.0,6.0,21.0,70.0,5.0,1.0
2.0,1.0,4.0,3.0,2.0,4.0,32.0,40.0,50.0,,30.0,80.0,,5.0,3.0,1.0,1.0,23.0,1.0,3.0,14.0,,5.0,7.0
2.0,1.0,3.0,4.0,3.0,4.0,32.0,85.0,70.0,40.0,100.0,85.0,3.0,5.0,1.0,1.0,1.0,65.0,1.0,1.0,5.0,100.0,5.0,7.0
2.0,1.0,4.0,3.0,3.0,4.0,32.0,15.0,50.0,,30.0,30.0,,5.0,4.0,1.0,1.0,27.0,4.0,2.0,9.0,85.0,1.0,7.0
1.0,1.0,1.0,1.0,1.0,4.0,160.0,70.0,70.0,60.0,60.0,40.0,2.0,1.0,1.0,2.0,2.0,44.0,5.0,7.0,20.0,70.0,5.0,9.0
1.0,1.0,2.0,1.0,1.0,4.0,160.0,60.0,50.0,70.0,60.0,70.0,6.0,3.0,5.0,2.0,2.0,65.0,1.0,4.0,,50.0,5.0,1.0
1.0,1.0,2.0,2.0,1.0,4.0,87.0,0.0,0.0,30.0,0.0,85.0,4.0,3.0,5.0,1.0,1.0,72.0,1.0,3.0,18.0,80.0,5.0,7.0
2.0,1.0,1.0,2.0,1.0,4.0,12.0,100.0,85.0,0.0,100.0,0.0,3.0,1.0,0.0,2.0,1.0,71.0,2.0,3.0,17.0,70.0,5.0,2.0
2.0,1.0,3.0,2.0,2.0,4.0,12.0,50.0,10.0,10.0,10.0,80.0,7.0,3.0,6.0,2.0,1.0,25.0,5.0,6.0,8.0,50.0,5.0,7.0
2.0,1.0,3.0,3.0,2.0,4.0,354.0,70.0,70.0,30.0,70.0,40.0,3.0,3.0,1.0,5.0,2.0,19.0,5.0,3.0,4.0,85.0,1.0,7.0
2.0,2.0,3.0,2.0,2.0,4.0,354.0,50.0,40.0,30.0,60.0,50.0,,3.0,2.0,4.0,1.0,21.0,5.0,4.0,15.0,85.0,1.0,7.0
1.0,1.0,2.0,2.0,2.0,4.0,354.0,60.0,50.0,30.0,60.0,70.0,5.0,3.0,4.0,2.0,1.0,22.0,1.0,3.0,15.0,,,2.0
1.0,1.0,3.0,3.0,1.0,4.0,354.0,60.0,40.0,60.0,60.0,40.0,2.0,5.0,2.0,5.0,1.0,36.0,1.0,4.0,14.0,,5.0,9.0
2.0,4.0,5.0,3.0,2.0,4.0,354.0,70.0,60.0,,50.0,50.0,4.0,1.0,5.0,3.0,2.0,30.0,5.0,6.0,5.0,,,9.0
2.0,2.0,4.0,3.0,1.0,4.0,354.0,100.0,85.0,0.0,100.0,0.0,5.0,1.0,0.0,2.0,1.0,45.0,3.0,4.0,13.0,,,2.0
2.0,1.0,3.0,3.0,1.0,4.0,16.0,100.0,85.0,30.0,85.0,50.0,4.0,1.0,0.0,2.0,1.0,27.0,4.0,3.0,3.0,85.0,5.0,9.0
2.0,2.0,3.0,3.0,2.0,4.0,16.0,100.0,85.0,,100.0,15.0,,1.0,0.0,1.0,1.0,42.0,1.0,3.0,,100.0,5.0,2.0
2.0,1.0,3.0,3.0,3.0,4.0,16.0,100.0,85.0,50.0,85.0,30.0,,3.0,1.0,1.0,1.0,47.0,3.0,4.0,11.0,85.0,5.0,9.0
1.0,1.0,2.0,2.0,3.0,4.0,16.0,70.0,50.0,45.0,70.0,70.0,7.0,1.0,2.0,1.0,2.0,51.0,3.0,4.0,18.0,85.0,5.0,7.0
1.0,1.0,4.0,3.0,4.0,4.0,45.0,50.0,30.0,30.0,50.0,50.0,,3.0,4.0,2.0,2.0,42.0,1.0,3.0,20.0,,,9.0
2.0,1.0,3.0,3.0,3.0,4.0,45.0,60.0,60.0,15.0,50.0,50.0,4.0,3.0,2.0,4.0,2.0,37.0,1.0,3.0,16.0,50.0,5.0,9.0
1.0,1.0,3.0,3.0,3.0,4.0,45.0,60.0,70.0,50.0,30.0,100.0,4.0,1.0,6.0,3.0,1.0,43.0,1.0,3.0,20.0,85.0,5.0,9.0
2.0,1.0,4.0,3.0,3.0,4.0,113.0,85.0,70.0,,50.0,60.0,6.0,3.0,1.0,5.0,1.0,33.0,5.0,3.0,21.0,100.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,4.0,113.0,60.0,85.0,15.0,60.0,15.0,2.0,3.0,2.0,2.0,2.0,26.0,5.0,6.0,,70.0,5.0,9.0
1.0,1.0,3.0,3.0,2.0,4.0,113.0,30.0,30.0,60.0,60.0,30.0,5.0,3.0,2.0,2.0,2.0,42.0,3.0,3.0,8.0,,,1.0
1.0,1.0,2.0,2.0,1.0,4.0,113.0,40.0,45.0,10.0,30.0,10.0,2.0,3.0,2.0,1.0,2.0,20.0,5.0,4.0,1.0,65.0,1.0,9.0
2.0,1.0,3.0,3.0,2.0,4.0,113.0,70.0,60.0,15.0,60.0,30.0,3.0,3.0,1.0,2.0,2.0,21.0,5.0,4.0,1.0,100.0,1.0,9.0
2.0,1.0,4.0,3.0,4.0,4.0,113.0,60.0,70.0,50.0,30.0,60.0,3.0,1.0,5.0,4.0,1.0,19.0,5.0,4.0,1.0,,,9.0
2.0,1.0,3.0,2.0,3.0,4.0,113.0,70.0,85.0,0.0,70.0,15.0,2.0,3.0,1.0,4.0,2.0,22.0,1.0,6.0,3.0,100.0,1.0,9.0
2.0,1.0,2.0,2.0,2.0,1.0,5.0,100.0,70.0,15.0,85.0,40.0,3.0,5.0,1.0,5.0,1.0,24.0,5.0,6.0,1.0,40.0,5.0,2.0
1.0,1.0,2.0,2.0,2.0,1.0,5.0,30.0,30.0,60.0,40.0,60.0,4.0,3.0,4.0,2.0,1.0,45.0,4.0,6.0,16.0,60.0,5.0,2.0
1.0,1.0,4.0,3.0,3.0,1.0,5.0,70.0,70.0,,50.0,60.0,,3.0,2.0,4.0,2.0,38.0,5.0,3.0,15.0,85.0,5.0,7.0
2.0,1.0,3.0,2.0,3.0,1.0,3.0,70.0,70.0,0.0,85.0,50.0,,3.0,1.0,2.0,1.0,48.0,1.0,5.0,19.0,70.0,5.0,2.0
1.0,1.0,4.0,3.0,3.0,1.0,3.0,70.0,40.0,,60.0,70.0,,5.0,2.0,1.0,1.0,50.0,1.0,3.0,18.0,85.0,5.0,2.0
1.0,1.0,3.0,3.0,2.0,1.0,3.0,70.0,50.0,15.0,70.0,40.0,4.0,5.0,1.0,2.0,1.0,43.0,1.0,6.0,15.0,60.0,5.0,1.0
1.0,1.0,4.0,3.0,4.0,1.0,3.0,60.0,0.0,,70.0,60.0,5.0,1.0,3.0,1.0,1.0,56.0,1.0,3.0,15.0,100.0,5.0,2.0
1.0,1.0,3.0,2.0,3.0,1.0,6.0,60.0,50.0,50.0,50.0,50.0,4.0,3.0,2.0,4.0,2.0,24.0,5.0,5.0,11.0,,,7.0
2.0,1.0,3.0,2.0,2.0,1.0,6.0,85.0,85.0,15.0,70.0,40.0,4.0,1.0,0.0,4.0,1.0,56.0,3.0,3.0,16.0,60.0,5.0,7.0
2.0,1.0,3.0,3.0,3.0,1.0,0.0,60.0,50.0,40.0,50.0,50.0,4.0,1.0,2.0,1.0,1.0,29.0,1.0,3.0,21.0,50.0,5.0,2.0
1.0,1.0,4.0,3.0,3.0,1.0,0.0,60.0,50.0,40.0,70.0,60.0,,5.0,2.0,4.0,1.0,31.0,1.0,4.0,16.0,,,2.0
2.0,1.0,4.0,3.0,3.0,1.0,0.0,40.0,,,,,,5.0,2.0,1.0,1.0,23.0,5.0,3.0,13.0,,5.0,9.0
